Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621959311271,25/05/2021 16:15:11,1621959311117,8,26/05/2021 00:15:11,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621959312413,25/05/2021 16:15:12,1621959312316,8,26/05/2021 00:15:12,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,1111.974999999802,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621959326236,25/05/2021 16:15:26,1621959326098,8,26/05/2021 00:15:26,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,13736.469999999827,null,,Fatin Nur Athirah Binti As'ari,,0,1,0,,,false,,,Name,,
4,1621959326523,25/05/2021 16:15:26,1621959326100,8,26/05/2021 00:15:26,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,13736.469999999827,null,,Yes,,0,1,0,,,false,,,Name,,
5,1621959326523,25/05/2021 16:15:26,1621959326101,8,26/05/2021 00:15:26,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,13736.469999999827,null,,null,,0,1,0,,,false,,,Name,,
6,1621959354227,25/05/2021 16:15:54,1621959354126,8,26/05/2021 00:15:54,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,28003.570000000764,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621959356963,25/05/2021 16:15:56,1621959356878,8,26/05/2021 00:15:56,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,2730.0649999997404,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621959358801,25/05/2021 16:15:58,1621959358716,8,26/05/2021 00:15:58,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1819.0500000000611,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621959360270,25/05/2021 16:16:00,1621959360049,8,26/05/2021 00:16:00,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1311.3150000008318,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621959365202,25/05/2021 16:16:05,1621959365117,8,26/05/2021 00:16:05,52598,4,task-qc8j,,13015179,,3922047,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x760,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,2085.3750000005675,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
