Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621927966143,25/05/2021 07:32:46,1621928152513,8,25/05/2021 15:35:52,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621928079994,25/05/2021 07:34:39,1621928266415,8,25/05/2021 15:37:46,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,113864.17000001529,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621928115558,25/05/2021 07:35:15,1621928301985,8,25/05/2021 15:38:21,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,35547.65000002226,null,,SOH HIU MAN,,0,1,0,,,false,,,Name,,
4,1621928115813,25/05/2021 07:35:15,1621928301986,8,25/05/2021 15:38:21,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,35547.65000002226,null,,Yes,,0,1,0,,,false,,,Name,,
5,1621928115813,25/05/2021 07:35:15,1621928301987,8,25/05/2021 15:38:21,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,35547.65000002226,null,,null,,0,1,0,,,false,,,Name,,
6,1621928146901,25/05/2021 07:35:46,1621928333330,8,25/05/2021 15:38:53,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,31327.754999976605,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621928160699,25/05/2021 07:36:00,1621928347135,8,25/05/2021 15:39:07,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,13779.299999994691,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621928162943,25/05/2021 07:36:02,1621928349388,8,25/05/2021 15:39:09,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,2234.6050000051036,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621928164943,25/05/2021 07:36:04,1621928351371,8,25/05/2021 15:39:11,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1960.8749999897555,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621928173534,25/05/2021 07:36:13,1621928359981,8,25/05/2021 15:39:19,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,8588.589999999385,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621928175848,25/05/2021 07:36:15,1621928362290,8,25/05/2021 15:39:22,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2288.1649999762885,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621928177692,25/05/2021 07:36:17,1621928364116,8,25/05/2021 15:39:24,52598,4,task-qc8j,,12995970,,3916240,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1803.2850000308827,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
