Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621692671310,22/05/2021 14:11:11,1621692672741,8,22/05/2021 22:11:12,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621692674464,22/05/2021 14:11:14,1621692675953,8,22/05/2021 22:11:15,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,3169.7299999941606,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621692775112,22/05/2021 14:12:55,1621692776614,8,22/05/2021 22:12:56,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,100629.11999999778,null,,Tengku Ahmad Naim Nuruddin bin Tengku Mohd Azzman Shariffadeen,,0,1,0,,,false,,,Name,,
4,1621692775362,22/05/2021 14:12:55,1621692776616,8,22/05/2021 22:12:56,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,100629.11999999778,null,,No,,0,1,0,,,false,,,Name,,
5,1621692775362,22/05/2021 14:12:55,1621692776616,8,22/05/2021 22:12:56,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,100629.11999999778,null,,null,,0,1,0,,,false,,,Name,,
6,1621692796909,22/05/2021 14:13:16,1621692798416,8,22/05/2021 22:13:18,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,21781.17000000202,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621692802918,22/05/2021 14:13:22,1621692804401,8,22/05/2021 22:13:24,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,5963.719999999739,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621692803829,22/05/2021 14:13:23,1621692805325,8,22/05/2021 22:13:25,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,908.160000006319,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621692804836,22/05/2021 14:13:24,1621692806329,8,22/05/2021 22:13:26,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,987.0450000016717,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621692825673,22/05/2021 14:13:45,1621692827185,8,22/05/2021 22:13:47,52598,4,task-qc8j,,12906196,,3897092,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,11121.824999994715,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
