Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621691207246,22/05/2021 13:46:47,1621691205832,8,22/05/2021 21:46:45,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621691208862,22/05/2021 13:46:48,1621691207503,8,22/05/2021 21:46:47,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,1639.9000000674278,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621691221666,22/05/2021 13:47:01,1621691220187,8,22/05/2021 21:47:00,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,12664.80499994941,null,,Azri Anwar,,0,1,0,,,false,,,Name,,
4,1621691221963,22/05/2021 13:47:01,1621691220189,8,22/05/2021 21:47:00,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,12664.80499994941,null,,No,,0,1,0,,,false,,,Name,,
5,1621691221963,22/05/2021 13:47:01,1621691220189,8,22/05/2021 21:47:00,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,12664.80499994941,null,,null,,0,1,0,,,false,,,Name,,
6,1621691224678,22/05/2021 13:47:04,1621691223320,8,22/05/2021 21:47:03,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,3120.740000042133,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621691226048,22/05/2021 13:47:06,1621691224683,8,22/05/2021 21:47:04,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,1353.4450000151992,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621691227141,22/05/2021 13:47:07,1621691225791,8,22/05/2021 21:47:05,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1099.44500005804,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621691228252,22/05/2021 13:47:08,1621691226903,8,22/05/2021 21:47:06,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1103.2750000013039,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621691230321,22/05/2021 13:47:10,1621691228899,8,22/05/2021 21:47:08,52598,4,task-qc8j,,12905678,,3897001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,1986.2749999156222,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
