Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621695742547,22/05/2021 15:02:22,1621695741941,8,22/05/2021 23:02:21,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621695744005,22/05/2021 15:02:24,1621695743485,8,22/05/2021 23:02:23,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,1476.5199999997094,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621695772103,22/05/2021 15:02:52,1621695771590,8,22/05/2021 23:02:51,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,28078.98000000023,null,,ariff najmi,,0,1,0,,,false,,,Name,,
4,1621695772322,22/05/2021 15:02:52,1621695771591,8,22/05/2021 23:02:51,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,28078.98000000023,null,,no,1,0,1,0,,,false,,,Name,,
5,1621695818073,22/05/2021 15:03:38,1621695817569,8,22/05/2021 23:03:37,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,45960.22500000027,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
6,1621695820228,22/05/2021 15:03:40,1621695819715,8,22/05/2021 23:03:39,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,2129.44999999991,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
7,1621695821432,22/05/2021 15:03:41,1621695820907,8,22/05/2021 23:03:40,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1172.41000000012,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
8,1621695822666,22/05/2021 15:03:42,1621695822172,8,22/05/2021 23:03:42,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1248.4199999998964,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
9,1621695832726,22/05/2021 15:03:52,1621695832215,8,22/05/2021 23:03:52,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,10026.225000000064,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
10,1621695834460,22/05/2021 15:03:54,1621695833948,8,22/05/2021 23:03:53,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,1693.139999999854,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
11,1621695835458,22/05/2021 15:03:55,1621695834944,8,22/05/2021 23:03:54,52598,4,task-qc8j,,12907310,,3897287,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x792,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,981.1100000001607,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
