Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621695704584,22/05/2021 15:01:44,1621695703979,8,22/05/2021 23:01:43,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621695706522,22/05/2021 15:01:46,1621695705992,8,22/05/2021 23:01:45,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,1990.8150000264868,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621695723831,22/05/2021 15:02:03,1621695723280,8,22/05/2021 23:02:03,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,17271.094999974594,null,,Muhammad Nurhafiz,,0,1,0,,,false,,,Name,,
4,1621695724048,22/05/2021 15:02:04,1621695723281,8,22/05/2021 23:02:03,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,17271.094999974594,null,,No,1,0,1,0,,,false,,,Name,,
5,1621695741344,22/05/2021 15:02:21,1621695740814,8,22/05/2021 23:02:20,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,17524.734999984503,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
6,1621695744985,22/05/2021 15:02:24,1621695744455,8,22/05/2021 23:02:24,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,3632.190000033006,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
7,1621695745955,22/05/2021 15:02:25,1621695745429,8,22/05/2021 23:02:25,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,967.4700000323355,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
8,1621695746676,22/05/2021 15:02:26,1621695746151,8,22/05/2021 23:02:26,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,714.6450000582263,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
9,1621695762893,22/05/2021 15:02:42,1621695762360,8,22/05/2021 23:02:42,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,15733.735000016168,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
10,1621695763978,22/05/2021 15:02:43,1621695763440,8,22/05/2021 23:02:43,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,1072.0150000415742,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
11,1621695765133,22/05/2021 15:02:45,1621695764605,8,22/05/2021 23:02:44,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1157.9800000181422,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
12,1621695767053,22/05/2021 15:02:47,1621695766531,8,22/05/2021 23:02:46,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,1913.8050000183284,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
13,1621695769113,22/05/2021 15:02:49,1621695768590,8,22/05/2021 23:02:48,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,2050.2550000092015,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
14,1621695770270,22/05/2021 15:02:50,1621695769749,8,22/05/2021 23:02:49,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1151.7600000370294,null,,pattern 3.png,1,0,1,0,,,false,,,Question 9 - b4p3,,
15,1621695770973,22/05/2021 15:02:50,1621695770445,8,22/05/2021 23:02:50,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,13,1,1,Screen 1,Zone1,response_button_image,689.7549999412149,null,,pattern 2.png,1,0,1,0,,,false,,,Question 10 - b3p2,,
16,1621695771869,22/05/2021 15:02:51,1621695771337,8,22/05/2021 23:02:51,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,885.7950000092387,null,,pattern 1.png,1,0,1,0,,,false,,,Question 11 - b2p1,,
17,1621695772573,22/05/2021 15:02:52,1621695772039,8,22/05/2021 23:02:52,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,694.9899999890476,null,,pattern 2.png,1,0,1,0,,,false,,,Question 12 - b1p2,,
18,1621695773654,22/05/2021 15:02:53,1621695773133,8,22/05/2021 23:02:53,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1087.2450000606477,null,,pattern 4.png,1,0,1,0,,,false,,,Question 13 - b4p4,,
19,1621695774377,22/05/2021 15:02:54,1621695773841,8,22/05/2021 23:02:53,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,701.1499999789521,null,,pattern 4.png,1,0,1,0,,,false,,,Question 14 - b1p4,,
20,1621695777021,22/05/2021 15:02:57,1621695776495,8,22/05/2021 23:02:56,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,2648.005000082776,null,,pattern 4.png,1,0,1,0,,,false,,,Question 15 - b2p4,,
21,1621695779086,22/05/2021 15:02:59,1621695778555,8,22/05/2021 23:02:58,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,2052.8100000228733,null,,pattern 5.png,1,0,1,0,,,false,,,Question 16 - b3p5,,
22,1621695780009,22/05/2021 15:03:00,1621695779480,8,22/05/2021 23:02:59,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,917.5700000487268,null,,pattern 3.png,1,0,1,0,,,false,,,Question 17 - b2p3,,
23,1621695782125,22/05/2021 15:03:02,1621695781592,8,22/05/2021 23:03:01,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,2106.195000000298,null,,pattern 5.png,1,0,1,0,,,false,,,Question 18 - b4p5,,
24,1621695783390,22/05/2021 15:03:03,1621695782857,8,22/05/2021 23:03:02,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,1257.4049999238923,null,,pattern 1.png,1,0,1,0,,,false,,,Question 19 - b3p1,,
25,1621695784390,22/05/2021 15:03:04,1621695783867,8,22/05/2021 23:03:03,52598,4,task-qc8j,,12907299,,3897285,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x1007,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,1004.5750000281259,null,,pattern 3.png,1,0,1,0,,,false,,,Question 20 - b1p3,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
